Tile_no,Cage treatment,Treatment,Tile_arrangement,Bommie_treat,Block,change_biomass
1,Open,Simple,Simple,Clean,4,4.987605
2,Cage,Simple,Simple,Turbinaria,2,30.8436355
3,Cage,Simple,Simple,Turbinaria,1,45.817687
4,Cage,Simple,Simple,Clean,5,21.659371
5,Open,Simple,Mix,Turbinaria,2,5.46825
6,Cage,Simple,Mix,Clean,2,48.313477
7,Cage,Simple,Simple,Clean,4,99.2237665
8,Open,Simple,Simple,Clean,4,6.0888625
9,Open,Simple,Simple,Turbinaria,4,4.985549
10,Cage,Simple,Simple,Turbinaria,3,19.186424
11,Open,Simple,Simple,Turbinaria,5,5.75398
12,Cage,Simple,Mix,Turbinaria,5,9.10357
13,Cage,Simple,Simple,Turbinaria,1,14.5730505
14,Cage,Simple,Simple,Clean,2,22.0548
15,Cage,Simple,Simple,Turbinaria,4,109.1548
16,Cage,Simple,Simple,Clean,5,66.1826515
17,Open,Simple,Simple,Turbinaria,4,6.3516945
18,Cage,Simple,Mix,Clean,3,24.0305465
19,Cage,Simple,Mix,Turbinaria,2,11.6118585
20,Cage,Simple,Simple,Clean,1,15.6333675
22,Cage,Simple,Simple,Turbinaria,2,80.657315
24,Open,Simple,Mix,Turbinaria,3,5.525079
25,Cage,Simple,Mix,Turbinaria,1,35.322564
27,Open,Simple,Simple,Clean,1,4.5199175
29,Open,Simple,Simple,Turbinaria,5,4.631596
30,Cage,Simple,Simple,Clean,1,30.5590435
31,Open,Simple,Simple,Clean,5,6.089912
32,Cage,Simple,Simple,Clean,2,20.326927
33,Open,Simple,Simple,Turbinaria,2,2.739196
34,Open,Simple,Simple,Turbinaria,1,3.933805
35,Open,Simple,Simple,Clean,3,5.181186
36,Open,Simple,Simple,Clean,2,5.2841385
37,Open,Simple,Mix,Clean,5,51.232471
38,Open,Simple,Mix,Clean,3,6.5157625
39,Open,Simple,Simple,Clean,5,4.2587255
40,Cage,Simple,Simple,Clean,3,51.27597989
41,Cage,Simple,Simple,Clean,3,70.36333
42,Cage,Simple,Simple,Clean,4,142.623384
43,Cage,Simple,Simple,Turbinaria,5,23.964915
44,Cage,Simple,Mix,Turbinaria,4,40.751465
45,Cage,Simple,Simple,Turbinaria,4,26.4846525
46,Open,Simple,Simple,Turbinaria,1,5.159524
47,Cage,Simple,Simple,Turbinaria,5,20.3614485
48,Open,Simple,Simple,Turbinaria,2,5.9868065
49,Open,Simple,Mix,Clean,4,5.339863
50,Open,Simple,Mix,Clean,2,3.990273
51,Open,Simple,Simple,Turbinaria,3,12.237403
52,Open,Simple,Simple,Turbinaria,3,6.570459
53,Cage,Simple,Mix,Turbinaria,3,44.521383
54,Open,Simple,Simple,Clean,1,4.7686875
55,Open,Simple,Simple,Clean,2,5.292941
56,Cage,Simple,Mix,Clean,5,4.749103
57,Open,Simple,Mix,Turbinaria,1,12.629497
58,Cage,Simple,Simple,Turbinaria,3,44.488425
59,Cage,Simple,Mix,Clean,4,39.9286985
60,Open,Simple,Mix,Clean,1,6.307933
61,Open,Simple,Simple,Clean,3,5.025385
62,Open,Simple,Mix,Turbinaria,4,5.40357
63,Cage,Simple,Mix,Clean,1,59.7837775
64,Open,Simple,Mix,Turbinaria,5,5.6826515
65,Open,Complex,Complex,Turbinaria,2,12.7346585
66,Open,Complex,Mix,Clean,5,12.1008805
67,Cage,Complex,Complex,Turbinaria,1,76.2559595
68,Open,Complex,Complex,Clean,1,13.7395355
69,Cage,Complex,Mix,Clean,5,39.6912795
70,Cage,Complex,Mix,Turbinaria,2,23.805987
71,Cage,Complex,Complex,Turbinaria,4,44.2539585
72,Cage,Complex,Complex,Clean,4,15.833707
74,Open,Complex,Complex,Turbinaria,3,10.117589
75,Cage,Complex,Complex,Turbinaria,3,51.9746475
76,Open,Complex,Complex,Turbinaria,1,11.7654075
77,Cage,Complex,Complex,Clean,3,31.5153035
78,Open,Complex,Complex,Clean,4,12.1838875
79,Open,Complex,Complex,Turbinaria,5,11.754396
80,Open,Complex,Complex,Turbinaria,1,9.331192
81,Open,Complex,Complex,Clean,4,14.351367
82,Cage,Complex,Complex,Clean,1,23.7114545
83,Open,Complex,Complex,Clean,5,15.108349
84,Cage,Complex,Complex,Clean,2,73.6771625
85,Cage,Complex,Mix,Clean,3,30.2654075
86,Open,Complex,Complex,Turbinaria,4,13.065484
87,Open,Complex,Complex,Turbinaria,5,12.334221
88,Open,Complex,Mix,Turbinaria,2,14.8501095
89,Cage,Complex,Mix,Clean,2,32.865484
90,Open,Complex,Complex,Clean,2,13.672515
92,Open,Complex,Complex,Turbinaria,3,10.686326
93,Cage,Complex,Mix,Turbinaria,5,87.868513
94,Cage,Complex,Complex,Turbinaria,3,21.187146
95,Cage,Complex,Complex,Clean,4,36.483811
96,Open,Complex,Complex,Clean,5,15.9807055
97,Cage,Complex,Complex,Clean,5,39.112712
98,Open,Complex,Mix,Turbinaria,4,10.521952
