Tile_no,Treatment,Tile_arrangement,Cage treatment,Bommie_treat,Bommie_no,Block
1,Simple,Simple,Open,Clean,50,4
10,Simple,Simple,Cage,Turbinaria,43,3
100,Complex,Complex,Cage,Clean,35,2
101,Complex,Mix,Open,Turbinaria,30,1
102,Complex,Mix,Open,Turbinaria,80,3
103,Complex,Complex,Cage,Turbinaria,42,5
104,Complex,Complex,Cage,Clean,32,5
105,Complex,Complex,Cage,Clean,79,1
106,Complex,Complex,Cage,Turbinaria,39,4
107,Complex,Complex,Open,Clean,33,3
108,Complex,Mix,Cage,Clean,28,1
109,Complex,Mix,Cage,Turbinaria,38,4
11,Simple,Simple,Open,Turbinaria,36,5
110,Complex,Mix,Open,Turbinaria,41,5
111,Complex,Complex,Open,Clean,35,2
112,Complex,Complex,Open,Clean,79,1
113,Complex,Complex,Cage,Clean,33,3
114,Complex,Mix,Cage,Turbinaria,30,1
115,Complex,Complex,Open,Clean,33,3
116,Complex,Mix,Cage,Turbinaria,80,3
117,Complex,Complex,Cage,Turbinaria,26,2
119,Complex,Complex,Open,Turbinaria,26,2
12,Simple,Mix,Cage,Turbinaria,41,5
120,Complex,Mix,Open,Clean,28,1
121,Complex,Complex,Cage,Turbinaria,26,2
122,Complex,Complex,Cage,Turbinaria,84,1
123,Complex,Mix,Open,Clean,46,3
124,Complex,Complex,Open,Turbinaria,39,4
125,Complex,Mix,Open,Clean,49,4
126,Complex,Mix,Open,Clean,45,2
128,Complex,Complex,Cage,Turbinaria,42,5
129,Simple,Control,Control,Control,NA,5
13,Simple,Simple,Cage,Turbinaria,29,1
130,Simple,Control,Control,Control,NA,2
131,Simple,Control,Control,Control,NA,4
132,Simple,Control,Control,Control,NA,3
133,Simple,Control,Control,Control,NA,4
134,Simple,Control,Control,Control,NA,5
135,Simple,Control,Control,Control,NA,2
136,Simple,Control,Control,Control,NA,3
137,Complex,Control,Control,Control,NA,5
138,Complex,Control,Control,Control,NA,2
139,Complex,Control,Control,Control,NA,4
14,Simple,Simple,Cage,Clean,40,2
140,Complex,Control,Control,Control,NA,5
141,Complex,Control,Control,Control,NA,4
142,Complex,Control,Control,Control,NA,2
143,Complex,Control,Control,Control,NA,3
144,Complex,Control,Control,Control,NA,3
15,Simple,Simple,Cage,Turbinaria,44,4
16,Simple,Simple,Cage,Clean,31,5
17,Simple,Simple,Open,Turbinaria,44,4
18,Simple,Mix,Cage,Clean,46,3
19,Simple,Mix,Cage,Turbinaria,27,2
2,Simple,Simple,Cage,Turbinaria,83,2
20,Simple,Simple,Cage,Clean,85,1
22,Simple,Simple,Cage,Turbinaria,83,2
24,Simple,Mix,Open,Turbinaria,80,3
25,Simple,Mix,Cage,Turbinaria,30,1
27,Simple,Simple,Open,Clean,85,1
29,Simple,Simple,Open,Turbinaria,36,5
3,Simple,Simple,Cage,Turbinaria,29,1
30,Simple,Simple,Cage,Clean,85,1
31,Simple,Simple,Open,Clean,31,5
32,Simple,Simple,Cage,Clean,40,2
33,Simple,Simple,Open,Turbinaria,83,2
34,Simple,Simple,Open,Turbinaria,29,1
35,Simple,Simple,Open,Clean,48,3
36,Simple,Simple,Open,Clean,40,2
37,Simple,Mix,Open,Clean,37,5
38,Simple,Mix,Open,Clean,46,3
39,Simple,Simple,Open,Clean,31,5
4,Simple,Simple,Cage,Clean,31,5
40,Simple,Simple,Cage,Clean,48,3
41,Simple,Simple,Cage,Clean,48,3
42,Simple,Simple,Cage,Clean,50,4
43,Simple,Simple,Cage,Turbinaria,36,5
44,Simple,Mix,Cage,Turbinaria,38,4
45,Simple,Simple,Cage,Turbinaria,44,4
46,Simple,Simple,Open,Turbinaria,29,1
47,Simple,Simple,Cage,Turbinaria,36,5
48,Simple,Simple,Open,Turbinaria,83,2
49,Simple,Mix,Open,Clean,49,4
5,Simple,Mix,Open,Turbinaria,27,2
50,Simple,Mix,Open,Clean,45,2
51,Simple,Simple,Open,Turbinaria,43,3
52,Simple,Simple,Open,Turbinaria,43,3
53,Simple,Mix,Cage,Turbinaria,80,3
54,Simple,Simple,Open,Clean,85,1
55,Simple,Simple,Open,Clean,40,2
56,Simple,Mix,Cage,Clean,37,5
57,Simple,Mix,Open,Turbinaria,30,1
58,Simple,Simple,Cage,Turbinaria,43,3
